"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\LAPTOP-50QB2UVF\Memory\Available Bytes","\\LAPTOP-50QB2UVF\Processor(_Total)\% Processor Time","\\LAPTOP-50QB2UVF\Processor(_Total)\% User Time","\\LAPTOP-50QB2UVF\Processor(_Total)\% Privileged Time","\\LAPTOP-50QB2UVF\Processor(_Total)\Interrupts/sec","\\LAPTOP-50QB2UVF\Processor(_Total)\% DPC Time","\\LAPTOP-50QB2UVF\Processor(_Total)\% Interrupt Time","\\LAPTOP-50QB2UVF\Processor(_Total)\DPCs Queued/sec","\\LAPTOP-50QB2UVF\Processor(_Total)\DPC Rate","\\LAPTOP-50QB2UVF\Processor(_Total)\% Idle Time","\\LAPTOP-50QB2UVF\Processor(_Total)\% C1 Time","\\LAPTOP-50QB2UVF\Processor(_Total)\% C2 Time","\\LAPTOP-50QB2UVF\Processor(_Total)\% C3 Time","\\LAPTOP-50QB2UVF\Processor(_Total)\C1 Transitions/sec","\\LAPTOP-50QB2UVF\Processor(_Total)\C2 Transitions/sec","\\LAPTOP-50QB2UVF\Processor(_Total)\C3 Transitions/sec","Use this template to create a basic Data Collector Set. You can add or remove counters and change the scheduling options later by editing its properties. Membership in the local Administrators group, or equivalent, is the minimum required to run this Data Collector Set without modification. See the help topic "Create a Data Collector Set From a Template" for more information about permissions and configuration."
"12/03/2020 00:04:48.444","8022188032"," "," "," "," "," "," "," ","30"," "," "," "," "," "," "," "," "
"12/03/2020 00:04:49.445","8023138304","5.3181136472260419623","2.8612623662862910479","2.3410355692574458253","24419.659599718237587","0.52023678544727380846","0.26011839272363690423","1181.1612573911265827","13","92.082899877591927407","0","0.17311926820851222808","91.909780609383417982","0","84.939684330157149361","22907.733218641442363"," "
"12/03/2020 00:04:50.447","8015282176","8.3962673100035907225","3.7681053267291244602","4.2878395191578082546","25375.965354199986905","0.12992606388690083885","0.51973419242868335033","1070.5095665443909638","23","89.470869618496365661","0","1.4189083735851331092","88.05195126595086208","0","680.4170777104144463","23043.391853192730196"," "
"12/03/2020 00:04:51.450","8021463040","5.2473667468698632632","2.8555555876762666045","2.2065665876131661527","27088.884623725334677","0","0.51918920635116838636","1327.0751751694365339","23","92.422148284775616389","0","0.40386366964482151021","92.018294583627351813","0","159.52819536221625185","25371.962421139480284"," "
"12/03/2020 00:04:52.456","7974735872","11.839652782659172203","6.9906879314155467853","4.2720820980425271429","28144.089865413261577","0.12945884096705684296","0","1218.9872880306882053","16","84.781323327655940147","0.8178147932252690655","2.8047261375321967947","81.158772454586753042","876.95496577737924326","1982.5943330613313265","19225.398206656922412"," "
"12/03/2020 00:04:53.442","7889027072","18.418626917627989314","14.124928601249560955","5.280354531166961074","38526.255902415425226","0.26402076803866492138","0","2370.1914664591549808","14","77.656819232050551705","2.7602244936898405747","4.5982417405053599424","70.298352997855346302","2246.5116722298917011","2993.659281631259546","26896.300169644069683"," "
"12/03/2020 00:04:54.446","7889702912","11.664203537641048669","7.6531735014138710937","3.8914449975069849152","25851.096726477480843","0","0.12971649360009843144","1324.9820280633184666","13","84.512890707304066495","1.4708043249457438684","2.5064840813126458841","80.53560230104567097","347.68325398052490982","1420.6198285851819492","20860.995238831495953"," "
"12/03/2020 00:04:55.447","7783149568","21.71814689166232526","15.734393397535061609","5.9816662555439155113","27663.206577010005276","0.13003795977921212002","0","2293.0330445436648006","39","75.492673193365178008","1.2523331632250531698","2.7720825348064512816","71.468257495333674001","420.4559720178061184","1446.1288538759697531","18783.695776035387098"," "
"12/03/2020 00:04:56.451","7680466944","34.721803057455360886","26.21509830382790085","8.1759920583503937763","33265.639943724389013","0","0.25955878395483789056","2900.2909858956163589","70","64.244875503080777435","9.8224989484889135838","10.726798482634618992","43.695578071957250188","7452.0535056843718849","4817.8716927214463794","10114.141898580313864"," "
"12/03/2020 00:04:57.456","7643742208","26.729845814167731533","20.582962548051963125","6.3431772625060371951","27557.442408455044642","0","0.12945422037063217258","4301.0966503942172494","48","72.741301732226915533","6.9308165070684326636","5.1253770238593041597","60.685118143256048029","5315.2248481293318036","2072.0031020391929815","14164.984738364868463"," "
"12/03/2020 00:04:58.442","7616389120","24.417315244298276156","16.252914172205617405","8.3246710294977717126","27049.409314003802137","0","0","4118.9057775188111918","57","72.134500926984060243","4.5170899652009302017","6.3565868029822212293","61.260824158800907924","2898.1509979289785406","2394.8306565519574178","15913.446761037201213"," "
"12/03/2020 00:04:59.443","7735087104","12.619501569653346351","8.1919267210163368986","4.2910016261760413059","21243.014452759933192","0","0.13002218166435580704","2792.3213957931820914","12","84.23993346699054996","0.67711397892242564112","3.5068140810627390636","80.055995420662711126","184.75660165298236848","1025.6488102573669039","16984.62445574200683"," "
"12/03/2020 00:05:00.445","7674609664","22.533157724617346673","17.936954953649163258","4.9391648364109776992","29493.451689113244356","0.12997959816429396906","0.12997959816429396906","3085.3981511168321958","53","78.312702902834431029","0.65948100397235864811","5.5884638889105175963","72.06475800995156078","204.6284765379976136","3427.7765289340673007","22352.416951782342949"," "
"12/03/2020 00:05:01.445","7670304768","16.701162378542811382","11.713898103405568918","4.9458714200578119957","30199.54833127278107","0","0.26031217869558426203","4277.3780182554774001","61","81.708276431901907699","3.3141572760562572064","0.88326415198824637098","77.510855003857400902","1926.2695585833851055","310.88211350255983234","22211.577369861348416"," "
